Key,Name,Data
[NONAME]\\Software\\Microsoft\\Windows\\CurrentVersion\\Run,-,-
\\REGISTRY\\MACHINE\\SYSTEM\\Software\\Microsoft\\Windows\\CurrentVersion\\Run,-,-
\\REGISTRY\\MACHINE\\HARDWARE\\Software\\Microsoft\\Windows\\CurrentVersion\\Run,-,-
\\SystemRoot\\System32\\Config\\SECURITY\\Software\\Microsoft\\Windows\\CurrentVersion\\Run,-,-
\\SystemRoot\\System32\\Config\\SOFTWARE\\Software\\Microsoft\\Windows\\CurrentVersion\\Run,-,-
\\SystemRoot\\System32\\Config\\DEFAULT\\Software\\Microsoft\\Windows\\CurrentVersion\\Run,-,-
\\SystemRoot\\System32\\Config\\SAM\\Software\\Microsoft\\Windows\\CurrentVersion\\Run,-,-
\\Device\\HarddiskVolume1\\EFI\\Microsoft\\Boot\\BCD\\Software\\Microsoft\\Windows\\CurrentVersion\\Run,-,-
\\??\\C:\\WINDOWS\\ServiceProfiles\\NetworkService\\NTUSER.DAT\\Software\\Microsoft\\Windows\\CurrentVersion\\Run,OneDriveSetup,C:\\Windows\\System32\\OneDriveSetup.exe /thfirstsetup
\\??\\C:\\WINDOWS\\ServiceProfiles\\LocalService\\NTUSER.DAT\\Software\\Microsoft\\Windows\\CurrentVersion\\Run,OneDriveSetup,C:\\Windows\\System32\\OneDriveSetup.exe /thfirstsetup
\\SystemRoot\\System32\\Config\\BBI\\Software\\Microsoft\\Windows\\CurrentVersion\\Run,-,-
\\??\\C:\\WINDOWS\\AppCompat\\Programs\\Amcache.hve\\Software\\Microsoft\\Windows\\CurrentVersion\\Run,-,-
\\??\\C:\\WINDOWS\\ServiceProfiles\\NetworkService\\AppData\\Local\\Microsoft\\Windows\\DeliveryOptimization\\State\\dosvcState.dat\\Software\\Microsoft\\Windows\\CurrentVersion\\Run,-,-
\\??\\C:\\Users\\administrator\\ntuser.dat\\Software\\Microsoft\\Windows\\CurrentVersion\\Run,OneDrive,"""C:\\Users\\administrator\\AppData\\Local\\Microsoft\\OneDrive\\OneDrive.exe"" /background"
\\??\\C:\\Users\\administrator\\ntuser.dat\\Software\\Microsoft\\Windows\\CurrentVersion\\Run,MicrosoftEdgeAutoLaunch_19C07ACF7D464A64B5B7148C18E2096D,"""C:\\Program Files (x86)\\Microsoft\\Edge\\Application\\msedge.exe"" --no-startup-window --win-session-start"
\\??\\C:\\Users\\administrator\\ntuser.dat\\Software\\Microsoft\\Windows\\CurrentVersion\\Run,LabExfil,python.exe -m http.server 9100
\\??\\C:\\Users\\administrator\\AppData\\Local\\Microsoft\\Windows\\UsrClass.dat\\Software\\Microsoft\\Windows\\CurrentVersion\\Run,-,-
