Key,Name,Data
[NONAME]\\Software\\Microsoft\\Windows\\CurrentVersion\\RunOnce,-,-
\\REGISTRY\\MACHINE\\SYSTEM\\Software\\Microsoft\\Windows\\CurrentVersion\\RunOnce,-,-
\\REGISTRY\\MACHINE\\HARDWARE\\Software\\Microsoft\\Windows\\CurrentVersion\\RunOnce,-,-
\\SystemRoot\\System32\\Config\\SECURITY\\Software\\Microsoft\\Windows\\CurrentVersion\\RunOnce,-,-
\\SystemRoot\\System32\\Config\\SOFTWARE\\Software\\Microsoft\\Windows\\CurrentVersion\\RunOnce,-,-
\\SystemRoot\\System32\\Config\\DEFAULT\\Software\\Microsoft\\Windows\\CurrentVersion\\RunOnce,-,-
\\SystemRoot\\System32\\Config\\SAM\\Software\\Microsoft\\Windows\\CurrentVersion\\RunOnce,-,-
\\Device\\HarddiskVolume1\\EFI\\Microsoft\\Boot\\BCD\\Software\\Microsoft\\Windows\\CurrentVersion\\RunOnce,-,-
\\??\\C:\\WINDOWS\\ServiceProfiles\\NetworkService\\NTUSER.DAT\\Software\\Microsoft\\Windows\\CurrentVersion\\RunOnce,-,-
\\??\\C:\\WINDOWS\\ServiceProfiles\\LocalService\\NTUSER.DAT\\Software\\Microsoft\\Windows\\CurrentVersion\\RunOnce,-,-
\\SystemRoot\\System32\\Config\\BBI\\Software\\Microsoft\\Windows\\CurrentVersion\\RunOnce,-,-
\\??\\C:\\WINDOWS\\AppCompat\\Programs\\Amcache.hve\\Software\\Microsoft\\Windows\\CurrentVersion\\RunOnce,-,-
\\??\\C:\\WINDOWS\\ServiceProfiles\\NetworkService\\AppData\\Local\\Microsoft\\Windows\\DeliveryOptimization\\State\\dosvcState.dat\\Software\\Microsoft\\Windows\\CurrentVersion\\RunOnce,-,-
\\??\\C:\\Users\\administrator\\ntuser.dat\\Software\\Microsoft\\Windows\\CurrentVersion\\RunOnce,Delete Cached Update Binary,"C:\\WINDOWS\\system32\\cmd.exe /q /c del /q ""C:\\Users\\administrator\\AppData\\Local\\Microsoft\\OneDrive\\Update\\OneDriveSetup.exe"""
\\??\\C:\\Users\\administrator\\ntuser.dat\\Software\\Microsoft\\Windows\\CurrentVersion\\RunOnce,Delete Cached Standalone Update Binary,"C:\\WINDOWS\\system32\\cmd.exe /q /c del /q ""C:\\Users\\administrator\\AppData\\Local\\Microsoft\\OneDrive\\StandaloneUpdater\\OneDriveSetup.exe"""
\\??\\C:\\Users\\administrator\\ntuser.dat\\Software\\Microsoft\\Windows\\CurrentVersion\\RunOnce,Uninstall 25.222.1112.0002,"C:\\WINDOWS\\system32\\cmd.exe /q /c rmdir /s /q ""C:\\Users\\administrator\\AppData\\Local\\Microsoft\\OneDrive\\25.222.1112.0002"""
\\??\\C:\\Users\\administrator\\ntuser.dat\\Software\\Microsoft\\Windows\\CurrentVersion\\RunOnce,Uninstall 25.216.1104.0002_1,"C:\\WINDOWS\\system32\\cmd.exe /q /c rmdir /s /q ""C:\\Users\\administrator\\AppData\\Local\\Microsoft\\OneDrive\\25.216.1104.0002_1"""
\\??\\C:\\Users\\administrator\\AppData\\Local\\Microsoft\\Windows\\UsrClass.dat\\Software\\Microsoft\\Windows\\CurrentVersion\\RunOnce,-,-
\\??\\C:\\ProgramData\\Microsoft\\Windows\\AppRepository\\Packages\\Microsoft.UI.Xaml.CBS_9.2504.3002.0_x64__8wekyb3d8bbwe\\ActivationStore.dat\\Software\\Microsoft\\Windows\\CurrentVersion\\RunOnce,-,-
\\??\\C:\\ProgramData\\Packages\\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\\S-1-5-21-178577525-1380231804-198719023-500\\SystemAppData\\Helium\\Cache\\4fd77213340646d7.dat\\Software\\Microsoft\\Windows\\CurrentVersion\\RunOnce,-,-
\\??\\C:\\ProgramData\\Packages\\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\\S-1-5-21-178577525-1380231804-198719023-500\\SystemAppData\\Helium\\Cache\\4fd77213340646d7_COM15.dat\\Software\\Microsoft\\Windows\\CurrentVersion\\RunOnce,-,-
\\??\\C:\\ProgramData\\Packages\\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\\S-1-5-21-178577525-1380231804-198719023-500\\SystemAppData\\Helium\\Cache\\4fd77213340646d7.dat\\Software\\Microsoft\\Windows\\CurrentVersion\\RunOnce,-,-
