PID,Process,Args
4,System,-
96,Registry,-
320,svchost.exe,C:\\WINDOWS\\system32\\svchost.exe -k LocalServiceNetworkRestricted -p -s Dhcp
340,svchost.exe,C:\\WINDOWS\\System32\\svchost.exe -k wsappx -p -s ClipSVC
412,msedgewebview2,"""""""C:\\Program Files (x86)\\Microsoft\\EdgeWebView\\Application\\143.0.3650.96\\msedgewebview2.exe"""" --embedded-browser-webview=1 --webview-exe-name=Widgets.exe --webview-exe-version=525.31002.10.0 --user-data-dir=""""C:\\Users\\administrator\\AppData\\Local\\Packages\\MicrosoftWindows.Client.WebExperience_cw5n1h2txyewy\\LocalState\\EBWebView"""" --noerrdialogs --disk-cache-size=52428800 --edge-webview-is-background --lang=en-US --mojo-named-platform-channel-pipe=7192.8524.11192174500057371829 /pfhostedapp:1f3d0ca33106b1de2a6f2986b70740d61f4ac3d5"""
436,smss.exe,\\SystemRoot\\System32\\smss.exe
528,svchost.exe,C:\\WINDOWS\\system32\\svchost.exe -k RPCSS -p
600,csrss.exe,"""%SystemRoot%\\system32\\csrss.exe ObjectDirectory=\\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16"""
672,svchost.exe,C:\\WINDOWS\\system32\\svchost.exe -k DcomLaunch -p -s LSM
676,wininit.exe,wininit.exe
684,csrss.exe,"""%SystemRoot%\\system32\\csrss.exe ObjectDirectory=\\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16"""
740,winlogon.exe,winlogon.exe
812,services.exe,C:\\WINDOWS\\system32\\services.exe
820,lsass.exe,C:\\WINDOWS\\system32\\lsass.exe
936,fontdrvhost.ex,"""""""fontdrvhost.exe"""""""
944,fontdrvhost.ex,"""""""fontdrvhost.exe"""""""
956,svchost.exe,C:\\WINDOWS\\system32\\svchost.exe -k DcomLaunch -p
968,svchost.exe,C:\\WINDOWS\\system32\\svchost.exe -k netsvcs -p -s seclogon
972,svchost.exe,C:\\WINDOWS\\system32\\svchost.exe -k UdkSvcGroup -s UdkUserSvc
